Match_id,IPL_year,Match_Info,Match_Date,Match_Team,Match_Result,Match_Cricbuzz_URL,Stadium,Location,Highlights_available
8054358,2014,Eliminator,2014-05-28,CHENNAI SUPER KINGS vs MUMBAI INDIANS,Chennai Super Kings won by 7 wkts,https://www.cricbuzz.com/cricket-scores/13715/csk-vs-mi-eliminator-indian-premier-league-2014,Brabourne Stadium,Mumbai,False
2888034,2014,Qualifier 2,2014-05-30,KINGS XI PUNJAB vs CHENNAI SUPER KINGS,Kings XI Punjab won by 24 runs,https://www.cricbuzz.com/cricket-scores/13716/kxip-vs-csk-qualifier-2-indian-premier-league-2014,Wankhede Stadium,Mumbai,False
8166814,2014,Final,2014-06-01,KOLKATA KNIGHT RIDERS vs KINGS XI PUNJAB,Kolkata Knight Riders won by 3 wkts,https://www.cricbuzz.com/cricket-scores/13717/kkr-vs-kxip-final-indian-premier-league-2014,M.Chinnaswamy Stadium,Bengaluru,False
5102677,2015,1st Match,2015-04-08,KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS,Kolkata Knight Riders won by 7 wkts,https://www.cricbuzz.com/cricket-scores/14594/kkr-vs-mi-1st-match-indian-premier-league-2015,Eden Gardens,Kolkata,False
2371075,2015,2nd Match,2015-04-09,CHENNAI SUPER KINGS vs DELHI CAPITALS,Chennai Super Kings won by 1 run,https://www.cricbuzz.com/cricket-scores/14595/csk-vs-dc-2nd-match-indian-premier-league-2015,MA Chidambaram Stadium,Chennai,False
2789616,2015,3rd Match,2015-04-10,KINGS XI PUNJAB vs RAJASTHAN ROYALS,Rajasthan Royals won by 26 runs,https://www.cricbuzz.com/cricket-scores/14596/kxip-vs-rr-3rd-match-indian-premier-league-2015,Maharashtra Cricket Association Stadium,Pune,False
4628150,2015,4th Match,2015-04-11,CHENNAI SUPER KINGS vs SUNRISERS HYDERABAD,Chennai Super Kings won by 45 runs,https://www.cricbuzz.com/cricket-scores/14597/csk-vs-srh-4th-match-indian-premier-league-2015,MA Chidambaram Stadium,Chennai,False
2041554,2015,5th Match,2015-04-11,KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 3 wkts,https://www.cricbuzz.com/cricket-scores/14598/kkr-vs-rcb-5th-match-indian-premier-league-2015,Eden Gardens,Kolkata,False
8188107,2015,6th Match,2015-04-12,DELHI CAPITALS vs RAJASTHAN ROYALS,Rajasthan Royals won by 3 wkts,https://www.cricbuzz.com/cricket-scores/14599/dc-vs-rr-6th-match-indian-premier-league-2015,Arun Jaitley Stadium,Delhi,False
4728011,2015,7th Match,2015-04-12,MUMBAI INDIANS vs KINGS XI PUNJAB,Kings XI Punjab won by 18 runs,https://www.cricbuzz.com/cricket-scores/14600/mi-vs-kxip-7th-match-indian-premier-league-2015,Wankhede Stadium,Mumbai,False
7485428,2015,8th Match,2015-04-13,ROYAL CHALLENGERS BANGALORE vs SUNRISERS HYDERABAD,Sunrisers Hyderabad won by 8 wkts,https://www.cricbuzz.com/cricket-scores/14601/rcb-vs-srh-8th-match-indian-premier-league-2015,M.Chinnaswamy Stadium,Bengaluru,False
6788228,2015,9th Match,2015-04-14,RAJASTHAN ROYALS vs MUMBAI INDIANS,Rajasthan Royals won by 7 wkts,https://www.cricbuzz.com/cricket-scores/14602/rr-vs-mi-9th-match-indian-premier-league-2015,Sardar Patel Stadium,Ahmedabad,False
2370285,2015,10th Match,2015-04-15,KINGS XI PUNJAB vs DELHI CAPITALS,Delhi Daredevils won by 5 wkts,https://www.cricbuzz.com/cricket-scores/14604/kxip-vs-dc-10th-match-indian-premier-league-2015,Maharashtra Cricket Association Stadium,Pune,False
1209448,2015,11th Match,2015-04-16,SUNRISERS HYDERABAD vs RAJASTHAN ROYALS,Rajasthan Royals won by 6 wkts,https://www.cricbuzz.com/cricket-scores/14605/srh-vs-rr-11th-match-indian-premier-league-2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,False
9181025,2015,12th Match,2015-04-17,MUMBAI INDIANS vs CHENNAI SUPER KINGS,Chennai Super Kings won by 6 wkts,https://www.cricbuzz.com/cricket-scores/14606/mi-vs-csk-12th-match-indian-premier-league-2015,Wankhede Stadium,Mumbai,False
6781050,2015,13th Match,2015-04-18,SUNRISERS HYDERABAD vs DELHI CAPITALS,Delhi Daredevils won by 4 runs,https://www.cricbuzz.com/cricket-scores/14607/srh-vs-dc-13th-match-indian-premier-league-2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,False
2876231,2015,14th Match,2015-04-18,KINGS XI PUNJAB vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 4 wkts,https://www.cricbuzz.com/cricket-scores/14608/kxip-vs-kkr-14th-match-indian-premier-league-2015,Maharashtra Cricket Association Stadium,Pune,False
3754692,2015,15th Match,2015-04-19,RAJASTHAN ROYALS vs CHENNAI SUPER KINGS,Rajasthan Royals won by 8 wkts,https://www.cricbuzz.com/cricket-scores/14609/rr-vs-csk-15th-match-indian-premier-league-2015,Sardar Patel Stadium,Ahmedabad,False
2457541,2015,16th Match,2015-04-19,ROYAL CHALLENGERS BANGALORE vs MUMBAI INDIANS,Mumbai Indians won by 18 runs,https://www.cricbuzz.com/cricket-scores/14610/rcb-vs-mi-16th-match-indian-premier-league-2015,M.Chinnaswamy Stadium,Bengaluru,False
6695421,2015,17th Match,2015-04-20,DELHI CAPITALS vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 6 wkts,https://www.cricbuzz.com/cricket-scores/14611/dc-vs-kkr-17th-match-indian-premier-league-2015,Arun Jaitley Stadium,Delhi,False
3646134,2015,18th Match,2015-04-21,RAJASTHAN ROYALS vs KINGS XI PUNJAB,Match tied (Kings XI Punjab won the one-over eliminator),https://www.cricbuzz.com/cricket-scores/14612/rr-vs-kxip-18th-match-indian-premier-league-2015,Sardar Patel Stadium,Ahmedabad,False
4189165,2015,19th Match,2015-04-22,SUNRISERS HYDERABAD vs KOLKATA KNIGHT RIDERS,Sunrisers Hyderabad won by 16 runs (D/L method),https://www.cricbuzz.com/cricket-scores/14613/srh-vs-kkr-19th-match-indian-premier-league-2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,False
9482709,2015,20th Match,2015-04-22,ROYAL CHALLENGERS BANGALORE vs CHENNAI SUPER KINGS,Chennai Super Kings won by 27 runs,https://www.cricbuzz.com/cricket-scores/14614/rcb-vs-csk-20th-match-indian-premier-league-2015,M.Chinnaswamy Stadium,Bengaluru,False
6204719,2015,21st Match,2015-04-23,DELHI CAPITALS vs MUMBAI INDIANS,Delhi Daredevils won by 37 runs,https://www.cricbuzz.com/cricket-scores/14615/dc-vs-mi-21st-match-indian-premier-league-2015,Arun Jaitley Stadium,Delhi,False
4711641,2015,22nd Match,2015-04-24,RAJASTHAN ROYALS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 9 wkts,https://www.cricbuzz.com/cricket-scores/14616/rr-vs-rcb-22nd-match-indian-premier-league-2015,Sardar Patel Stadium,Ahmedabad,False
5410857,2015,23rd Match,2015-04-25,MUMBAI INDIANS vs SUNRISERS HYDERABAD,Mumbai Indians won by 20 runs,https://www.cricbuzz.com/cricket-scores/14617/mi-vs-srh-23rd-match-indian-premier-league-2015,Wankhede Stadium,Mumbai,False
7356833,2015,24th Match,2015-04-25,CHENNAI SUPER KINGS vs KINGS XI PUNJAB,Chennai Super Kings won by 97 runs,https://www.cricbuzz.com/cricket-scores/14618/csk-vs-kxip-24th-match-indian-premier-league-2015,MA Chidambaram Stadium,Chennai,False
9688641,2015,25th Match,2015-04-26,KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS,Match abandoned without a ball being bowled,https://www.cricbuzz.com/cricket-scores/14619/kkr-vs-rr-25th-match-indian-premier-league-2015,Eden Gardens,Kolkata,False
1565517,2015,26th Match,2015-04-26,DELHI CAPITALS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 10 wkts,https://www.cricbuzz.com/cricket-scores/14620/dc-vs-rcb-26th-match-indian-premier-league-2015,Arun Jaitley Stadium,Delhi,False
9015988,2015,27th Match,2015-04-27,KINGS XI PUNJAB vs SUNRISERS HYDERABAD,Sunrisers Hyderabad won by 20 runs,https://www.cricbuzz.com/cricket-scores/14621/kxip-vs-srh-27th-match-indian-premier-league-2015,Punjab Cricket Association IS Bindra Stadium,Mohali,False
7022182,2015,28th Match,2015-04-28,CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS,Chennai Super Kings won by 2 runs,https://www.cricbuzz.com/cricket-scores/14624/csk-vs-kkr-28th-match-indian-premier-league-2015,MA Chidambaram Stadium,Chennai,False
3975957,2015,29th Match,2015-04-29,ROYAL CHALLENGERS BANGALORE vs RAJASTHAN ROYALS,No result,https://www.cricbuzz.com/cricket-scores/14623/rcb-vs-rr-29th-match-indian-premier-league-2015,M.Chinnaswamy Stadium,Bengaluru,False
2597094,2015,30th Match,2015-04-30,KOLKATA KNIGHT RIDERS vs CHENNAI SUPER KINGS,Kolkata Knight Riders won by 7 wkts,https://www.cricbuzz.com/cricket-scores/14603/kkr-vs-csk-30th-match-indian-premier-league-2015,Eden Gardens,Kolkata,False
8189460,2015,31st Match,2015-05-01,DELHI CAPITALS vs KINGS XI PUNJAB,Delhi Daredevils won by 9 wkts,https://www.cricbuzz.com/cricket-scores/14625/dc-vs-kxip-31st-match-indian-premier-league-2015,Arun Jaitley Stadium,Delhi,False
8793825,2015,32nd Match,2015-05-01,MUMBAI INDIANS vs RAJASTHAN ROYALS,Mumbai Indians won by 8 runs,https://www.cricbuzz.com/cricket-scores/14626/mi-vs-rr-32nd-match-indian-premier-league-2015,Wankhede Stadium,Mumbai,False
1794369,2015,33rd Match,2015-05-02,ROYAL CHALLENGERS BANGALORE vs KOLKATA KNIGHT RIDERS,Royal Challengers Bangalore won by 7 wkts,https://www.cricbuzz.com/cricket-scores/14627/rcb-vs-kkr-33rd-match-indian-premier-league-2015,M.Chinnaswamy Stadium,Bengaluru,False
6719455,2015,34th Match,2015-05-02,SUNRISERS HYDERABAD vs CHENNAI SUPER KINGS,Sunrisers Hyderabad won by 22 runs,https://www.cricbuzz.com/cricket-scores/14628/srh-vs-csk-34th-match-indian-premier-league-2015,Rajiv Gandhi International Stadium,Hyderabad,False
7679395,2015,35th Match,2015-05-03,KINGS XI PUNJAB vs MUMBAI INDIANS,Mumbai Indians won by 23 runs,https://www.cricbuzz.com/cricket-scores/14629/kxip-vs-mi-35th-match-indian-premier-league-2015,Punjab Cricket Association IS Bindra Stadium,Mohali,False
7091807,2015,36th Match,2015-05-03,RAJASTHAN ROYALS vs DELHI CAPITALS,Rajasthan Royals won by 14 runs,https://www.cricbuzz.com/cricket-scores/14630/rr-vs-dc-36th-match-indian-premier-league-2015,Brabourne Stadium,Mumbai,False
1474947,2015,37th Match,2015-05-04,CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BANGALORE,Chennai Super Kings won by 24 runs,https://www.cricbuzz.com/cricket-scores/14631/csk-vs-rcb-37th-match-indian-premier-league-2015,MA Chidambaram Stadium,Chennai,False
1574368,2015,38th Match,2015-05-04,KOLKATA KNIGHT RIDERS vs SUNRISERS HYDERABAD,Kolkata Knight Riders won by 35 runs,https://www.cricbuzz.com/cricket-scores/14632/kkr-vs-srh-38th-match-indian-premier-league-2015,Eden Gardens,Kolkata,False
9562030,2015,39th Match,2015-05-05,MUMBAI INDIANS vs DELHI CAPITALS,Mumbai Indians won by 5 wkts,https://www.cricbuzz.com/cricket-scores/14633/mi-vs-dc-39th-match-indian-premier-league-2015,Wankhede Stadium,Mumbai,False
2429320,2015,40th Match,2015-05-06,ROYAL CHALLENGERS BANGALORE vs KINGS XI PUNJAB,Royal Challengers Bangalore won by 138 runs,https://www.cricbuzz.com/cricket-scores/14634/rcb-vs-kxip-40th-match-indian-premier-league-2015,M.Chinnaswamy Stadium,Bengaluru,False
